range_date,id_store,id_product,quantity
2025-01-15,846546546,1234567890123,2
2025-01-15,846546546,2345678901234,5
2025-01-16,123456789,1234567890123,1
2025-01-16,123456789,4567890123456,3
2025-01-17,111111111,2345678901234,4
2025-01-18,846546546,3456789012345,2
2025-01-19,123456789,5678901234567,1
2025-01-20,777777777,8901234567890,3
2025-01-21,777777777,9012345678901,2
2025-01-22,666666666,1234567890123,1
2025-01-22,666666666,2345678901234,8
2025-01-23,846546546,4567890123456,4
2025-01-24,123456789,6789012345678,2
2025-01-25,111111111,6789012345678,1
2025-01-26,777777777,123456789012,1
2025-01-27,666666666,123456789012,5
2025-01-28,846546546,5678901234567,1
2025-01-29,123456789,8901234567890,2
2025-01-30,777777777,123456789012,3
